T-15.0_D0.1_L0.0,T-15.0_D0.1_L0.25,T-15.0_D0.1_L0.5,T-15.0_D0.1_L0.75,T-15.0_D0.1_L1.0,T-15.0_D1.0_L0.0,T-15.0_D1.0_L0.25,T-15.0_D1.0_L0.5,T-15.0_D1.0_L0.75,T-15.0_D1.0_L1.0,T-15.0_D2.0_L0.0,T-15.0_D2.0_L0.25,T-15.0_D2.0_L0.5,T-15.0_D2.0_L0.75,T-15.0_D2.0_L1.0,T0.0_D0.1_L0.0,T0.0_D0.1_L0.25,T0.0_D0.1_L0.5,T0.0_D0.1_L0.75,T0.0_D0.1_L1.0,T0.0_D1.0_L0.0,T0.0_D1.0_L0.25,T0.0_D1.0_L0.5,T0.0_D1.0_L0.75,T0.0_D1.0_L1.0,T0.0_D2.0_L0.0,T0.0_D2.0_L0.25,T0.0_D2.0_L0.5,T0.0_D2.0_L0.75,T0.0_D2.0_L1.0,T9.0_D0.1_L0.0,T9.0_D0.1_L0.25,T9.0_D0.1_L0.5,T9.0_D0.1_L0.75,T9.0_D0.1_L1.0,T9.0_D1.0_L0.0,T9.0_D1.0_L0.25,T9.0_D1.0_L0.5,T9.0_D1.0_L0.75,T9.0_D1.0_L1.0,T9.0_D2.0_L0.0,T9.0_D2.0_L0.25,T9.0_D2.0_L0.5,T9.0_D2.0_L0.75,T9.0_D2.0_L1.0
0.2560037,0.78123,0.6301317,0.7771318,1.0,0.2,0.3705203,0.8498216,0.5863199,0.7271569,0.5408881,0.0,0.9543141,0.9066111,0.7657738,0.06385834,0.07067326,0.03887118,0.9414659,0.5,0.1706224,0.2705715,0.6680962,0.865723,0.6612813,0.0,0.1410919,0.1555023,0.7680453,0.9452276,0.23931,0.4045939,0.6839972,0.2637566,0.5976775,0.122919,0.8725375,0.6726392,0.8952531,0.9679433,0.0593153,0.1206475,0.9202402,0.8770806,1.0
0.0,0.7771315,0.1471381,0.934651,0.6850306,1.0,0.2001526,0.8929815,0.6385657,0.8679944,1.0,0.8412,0.7112558,0.8483314,1.0,0.2205966,0.09644165,0.3637058,0.9142069,0.9043396,0.0956604,0.1229193,0.2001526,0.02069873,0.6067637,0.03056607,0.1910661,0.5,0.8838955,0.8770808,0.7316999,0.5,0.6983,0.75,1.0,0.1365485,0.6666059,0.3864217,0.8248345,0.877081,0.1486878,0.902068,0.8188012,0.8520934,0.8778619
0.0,0.22514,0.7439967,0.7930328,0.760263,0.5,0.2236494,0.3372281,0.5863196,1.0,0.8710472,0.83429,0.2796576,0.075216,1.0,0.007850477,0.09417012,0.166079,0.8770806,0.9119354,0.2281928,0.3554006,0.6476517,1.0,1.0,0.1100711,0.1441447,0.5,0.7248856,0.8392453,0.9255648,0.5499745,0.69032,0.5,1.0,0.18198,0.8566365,0.5,0.6612816,0.1433634,0.2395508,0.3713016,0.5249875,0.897525,0.8710473
0.3780016,0.7294284,0.6920635,0.8090624,1.0,1.0,0.6340227,1.0,0.79894,0.9846255,0.231604,1.0,0.8180199,0.8293778,0.5,0.09871317,0.1305152,0.3826595,1.0,0.8460597,0.1032562,0.08508369,0.2032053,0.8642324,1.0,0.1077996,0.1259722,0.5,0.9414654,0.8838951,0.9505519,0.1297342,0.5,0.5,0.584048,0.1191572,0.1638075,0.8687758,0.9573669,0.9028493,0.0918986,0.5,0.5,0.942956,1.0
0.707397,0.237704,0.08613873,0.5,0.7988957,0.6998982,0.0,0.6930836,0.3886929,0.8225629,0.3820683,0.7271572,0.7602629,0.8770808,1.0,0.1229194,0.0,0.09871317,1.0,0.8929815,0.05328166,0.2236494,0.08054063,0.9005775,1.0,0.06691115,0.7256666,0.6893215,1.0,0.7680453,0.8256158,0.6431087,0.8498216,0.5,0.4409393,0.1577742,0.412893,0.6453803,0.8293779,0.7612304,0.08508369,0.7407867,0.5,0.8475504,0.9270551
0.7033303,0.2996358,0.9046277,0.798896,0.0,0.7339718,0.9474995,0.742,1.0,0.8841498,0.6809639,0.8566365,0.2255039,0.75,0.2940684,0.1638075,0.6817256,0.8914914,0.8955078,0.08657428,0.05931528,0.04192403,0.5,0.03659939,0.838464,0.0,0.6135786,0.9664529,1.0,0.7975755,0.3983346,0.25,0.5,0.8543651,0.9747577,0.6817254,0.5,0.69013,0.895253,1.0,0.07748781,0.624,0.7271572,0.7074941,0.2955587
0.03437316,0.3210694,0.2499036,0.6606314,1.0,0.5817766,0.5,1.0,1.0,1.0,0.0,0.2804029,0.8334621,1.0,0.7294288,0.6794541,0.6022206,0.8611796,0.75,1.0,0.0,0.1350583,0.5,0.1706221,0.7839463,0.0,0.6158497,0.0,0.6294796,0.6794538,0.1909375,0.9164785,0.8021186,0.1138329,1.0,0.0,0.6902,1.0,1.0,0.5,0.8770809,0.12332,0.7703168,0.8929815,1.0
0.0,0.0,1.0,1.0,0.8160952,0.3536019,0.3892,0.1138333,0.747601,0.806662,0.0,0.9493604,0.821262,0.902068,0.9270551,0.0,0.0,0.5,1.0,0.04795766,0.0,0.2455841,0.7589,0.6976264,0.93387,0.0,0.6862687,0.5,0.5885912,0.489,0.3393685,0.5,0.7622964,1.0,0.7826298,0.30123,0.5,0.7521443,0.75,0.8129,0.3132,0.5,0.8770808,1.0,1.0
0.0,0.0,0.9290273,1.0,0.6545309,0.3617353,0.0,0.2509084,0.8375287,0.8225629,0.0,0.8181285,0.7907622,0.9906592,0.7157993,0.2395504,0.5,0.1161044,0.1009847,0.789123,0.0,0.0,0.5,0.9588571,0.7703168,0.0,0.0,0.4795559,1.0,0.3523478,0.3983346,0.2501271,0.7317966,0.9634002,0.9828262,0.5,0.1638075,0.2183251,0.69823,1.0,0.4312,0.2773861,0.4483,0.5613325,1.0
0.0,0.0,0.9656267,0.9574937,0.9493608,0.2438036,0.5,1.0,0.853795,0.8225629,0.0,0.9574938,0.2397369,0.84755,1.0,1.0,0.3091882,0.5,0.981573,0.4909139,0.2372789,0.25,0.8975246,0.5,0.6260646,0.2554515,0.2751143,0.5,0.5,0.5,0.1726379,0.5704187,0.3292027,0.4024013,0.8720951,0.6340227,0.1183763,0.0,0.7044413,0.6839972,0.7983568,0.7589593,1.0,0.5,0.7165805
