Participant,Temperature,Duration,Direction,mean,std,count,z_score,is_outlier
9,0,2.0,0,1.0,0.0,9,0.6836186257737819,False
9,0,2.0,1,1.0,0.0,10,0.6836186257737819,False
9,9,0.1,0,0.0,0.0,6,-2.5026609993255935,True
9,9,0.1,1,0.0,0.0,8,-2.5026609993255935,True
9,9,1.0,0,1.0,0.0,10,0.6836186257737819,False
9,9,1.0,1,0.875,0.3535533905932738,8,0.28533367263635995,False
9,9,2.0,0,1.0,0.0,10,0.6836186257737819,False
9,9,2.0,1,0.9,0.31622776601683794,10,0.3649906632638444,False
10,-15,0.1,0,0.1111111111111111,0.3333333333333333,9,-2.1486299298701077,False
10,-15,0.1,1,0.0,0.0,5,-2.5026609993255935,True
10,-15,1.0,0,0.7777777777777778,0.44095855184409843,9,-0.024443513137190415,False
10,-15,1.0,1,1.0,0.0,8,0.6836186257737819,False
10,-15,2.0,0,1.0,0.0,10,0.6836186257737819,False
10,-15,2.0,1,0.8888888888888888,0.3333333333333333,9,0.32958755631829556,False
10,0,0.1,0,0.75,0.4629100498862757,8,-0.112951280501062,False
10,0,0.1,1,1.0,0.0,9,0.6836186257737819,False
10,0,1.0,0,0.6666666666666666,0.5,9,-0.37847458259267674,False
10,0,1.0,1,0.8888888888888888,0.3333333333333333,9,0.32958755631829556,False
10,0,2.0,0,0.875,0.3535533905932738,8,0.28533367263635995,False
10,0,2.0,1,1.0,0.0,10,0.6836186257737819,False
10,9,0.1,0,0.0,0.0,10,-2.5026609993255935,True
10,9,0.1,1,0.0,0.0,10,-2.5026609993255935,True
10,9,1.0,0,0.7,0.48304589153964794,10,-0.27226526175603094,False
10,9,1.0,1,0.9,0.31622776601683794,10,0.3649906632638444,False
10,9,2.0,0,1.0,0.0,10,0.6836186257737819,False
10,9,2.0,1,1.0,0.0,10,0.6836186257737819,False
11,-15,0.1,0,0.25,0.5,4,-1.7060910930507498,False
11,-15,0.1,1,0.5,0.7071067811865476,2,-0.9095211867759059,False
11,-15,1.0,0,0.875,0.3535533905932738,8,0.28533367263635995,False
11,-15,1.0,1,1.0,0.0,4,0.6836186257737819,False
11,-15,2.0,0,1.0,0.0,9,0.6836186257737819,False
11,-15,2.0,1,1.0,0.0,4,0.6836186257737819,False
11,0,0.1,0,0.9,0.31622776601683794,10,0.3649906632638444,False
11,0,0.1,1,0.9,0.31622776601683794,10,0.3649906632638444,False
11,0,1.0,0,1.0,0.0,10,0.6836186257737819,False
11,0,1.0,1,1.0,0.0,9,0.6836186257737819,False
11,0,2.0,0,1.0,0.0,8,0.6836186257737819,False
11,0,2.0,1,1.0,0.0,9,0.6836186257737819,False
11,9,0.1,0,0.375,0.5175491695067657,8,-1.3078061399133278,False
11,9,0.1,1,0.8571428571428571,0.37796447300922725,7,0.22843582218815667,False
11,9,1.0,0,0.8,0.4216370213557839,10,0.04636270075390692,False
11,9,1.0,1,1.0,0.0,10,0.6836186257737819,False
11,9,2.0,0,1.0,0.0,10,0.6836186257737819,False
11,9,2.0,1,1.0,0.0,10,0.6836186257737819,False
12,-15,1.0,1,1.0,,1,0.6836186257737819,False
12,-15,2.0,0,1.0,,1,0.6836186257737819,False
12,-15,2.0,1,1.0,,1,0.6836186257737819,False
12,0,0.1,0,0.75,0.5,4,-0.112951280501062,False
12,0,0.1,1,0.375,0.5175491695067657,8,-1.3078061399133278,False
12,0,1.0,0,1.0,0.0,4,0.6836186257737819,False
12,0,1.0,1,1.0,0.0,7,0.6836186257737819,False
12,0,2.0,0,1.0,0.0,5,0.6836186257737819,False
12,0,2.0,1,1.0,0.0,7,0.6836186257737819,False
12,9,1.0,0,1.0,0.0,7,0.6836186257737819,False
12,9,1.0,1,1.0,0.0,9,0.6836186257737819,False
12,9,2.0,0,1.0,0.0,4,0.6836186257737819,False
12,9,2.0,1,1.0,0.0,10,0.6836186257737819,False
13,-15,0.1,0,1.0,0.0,10,0.6836186257737819,False
13,-15,0.1,1,0.8,0.42163702135578396,10,0.04636270075390692,False
13,-15,1.0,0,1.0,0.0,10,0.6836186257737819,False
13,-15,1.0,1,1.0,0.0,5,0.6836186257737819,False
13,-15,2.0,0,1.0,0.0,10,0.6836186257737819,False
13,-15,2.0,1,1.0,0.0,10,0.6836186257737819,False
13,0,0.1,0,1.0,0.0,4,0.6836186257737819,False
13,0,0.1,1,1.0,0.0,2,0.6836186257737819,False
13,0,1.0,0,1.0,0.0,2,0.6836186257737819,False
13,0,1.0,1,0.8,0.4472135954999579,5,0.04636270075390692,False
13,0,2.0,0,0.8,0.4472135954999579,5,0.04636270075390692,False
13,0,2.0,1,0.5,0.7071067811865476,2,-0.9095211867759059,False
13,9,0.1,0,1.0,0.0,8,0.6836186257737819,False
13,9,0.1,1,0.8888888888888888,0.3333333333333333,9,0.32958755631829556,False
13,9,1.0,0,1.0,0.0,10,0.6836186257737819,False
13,9,1.0,1,0.9,0.31622776601683794,10,0.3649906632638444,False
13,9,2.0,0,1.0,0.0,10,0.6836186257737819,False
13,9,2.0,1,0.8,0.4216370213557839,10,0.04636270075390692,False
14,-15,0.1,0,1.0,0.0,8,0.6836186257737819,False
14,-15,0.1,1,1.0,0.0,5,0.6836186257737819,False
14,-15,1.0,0,1.0,0.0,10,0.6836186257737819,False
14,-15,1.0,1,0.8,0.4216370213557839,10,0.04636270075390692,False
14,-15,2.0,0,0.9,0.31622776601683794,10,0.3649906632638444,False
