Participant,Trial,Temperature,Duration,Location,FeltThermal,FeltLocation,ThermalMatch,LocationError
2,76,0,0.1,1.0,0,1.0,1,0.0
2,77,0,1.0,0.25,0,0.2777778,1,-0.02777780000000002
2,78,9,1.0,1.0,1,0.8222222,1,0.17777779999999999
2,79,9,1.0,0.5,1,0.4027778,1,0.09722219999999998
2,80,9,0.1,0.0,1,0.0,1,0.0
2,81,9,0.1,0.5,1,0.7194445,1,-0.21944450000000004
2,82,9,1.0,0.25,1,0.0,1,0.25
2,83,9,1.0,0.0,1,0.0,1,0.0
2,84,0,1.0,0.5,0,0.5861111,1,-0.0861111
2,85,-15,0.1,0.25,-1,0.2944444,1,-0.044444399999999995
2,86,9,2.0,0.0,1,0.0,1,0.0
2,87,-15,0.1,0.75,-1,1.0,1,-0.25
2,88,0,1.0,1.0,0,1.0,1,0.0
2,89,-15,2.0,0.25,-1,0.4361111,1,-0.18611109999999997
2,90,-15,2.0,0.25,-1,0.5222222,1,-0.27222219999999997
2,91,0,2.0,0.25,0,0.0,1,0.25
2,92,9,0.1,0.25,1,0.5111111,1,-0.26111110000000004
2,93,0,1.0,0.5,0,0.6194444,1,-0.1194444
2,94,9,0.1,0.0,1,0.0,1,0.0
2,95,0,2.0,0.75,0,0.6666667,1,0.08333330000000005
2,97,9,2.0,1.0,1,1.0,1,0.0
2,98,-15,1.0,0.5,-1,0.3638889,1,0.13611109999999998
2,99,9,2.0,0.25,1,0.2,1,0.04999999999999999
2,100,9,0.1,0.5,1,0.5777778,1,-0.07777780000000001
2,101,9,0.1,0.75,1,1.0,1,-0.25
2,102,9,1.0,1.0,1,1.0,1,0.0
2,103,-15,0.1,0.75,-1,0.775,1,-0.025000000000000022
2,104,9,1.0,0.0,1,0.06666667,1,-0.06666667
2,105,9,1.0,0.75,1,0.7333333,1,0.016666700000000034
2,106,0,0.1,0.0,0,0.0,1,0.0
2,107,0,1.0,0.75,0,1.0,1,-0.25
2,108,9,2.0,0.0,1,0.0,1,0.0
2,109,9,0.1,1.0,1,1.0,1,0.0
2,110,-15,2.0,0.75,-1,0.6777778,1,0.07222220000000001
2,111,0,1.0,0.25,0,0.0,1,0.25
2,112,0,1.0,0.75,0,1.0,1,-0.25
2,113,-15,0.1,1.0,-1,1.0,1,0.0
2,114,9,1.0,0.75,1,0.8222222,1,-0.07222220000000001
2,115,-15,0.1,1.0,-1,0.9027778,1,0.09722220000000004
2,116,0,2.0,0.25,0,0.5138889,1,-0.2638889
2,117,-15,1.0,1.0,-1,0.9916667,1,0.008333299999999988
2,118,0,1.0,0.25,0,0.3138889,1,-0.06388890000000003
2,119,-15,2.0,0.0,-1,0.0,1,0.0
2,120,0,1.0,1.0,0,1.0,1,0.0
2,121,-15,2.0,1.0,-1,1.0,1,0.0
2,122,-15,0.1,1.0,-1,1.0,1,0.0
2,123,9,0.1,0.25,1,0.3361111,1,-0.0861111
2,124,9,0.1,0.75,1,1.0,1,-0.25
2,125,9,1.0,0.5,1,0.5416667,1,-0.041666699999999945
2,126,0,0.1,1.0,0,1.0,1,0.0
2,127,0,1.0,0.5,0,0.5694444,1,-0.06944439999999996
2,128,0,0.1,0.5,0,0.425,1,0.07500000000000001
2,129,9,2.0,0.5,1,0.525,1,-0.025000000000000022
2,130,-15,2.0,0.0,-1,0.0,1,0.0
2,131,9,0.1,0.0,1,0.0,1,0.0
2,132,9,2.0,0.5,1,0.4472222,1,0.052777799999999986
2,133,0,2.0,1.0,0,1.0,1,0.0
2,134,9,2.0,0.25,1,0.2416667,1,0.008333299999999988
2,135,9,2.0,0.0,1,0.1416667,1,-0.1416667
2,136,0,2.0,0.75,0,0.8305556,1,-0.08055559999999995
2,137,9,0.1,0.25,1,0.2583333,1,-0.008333299999999988
2,138,-15,1.0,0.0,-1,0.3055556,1,-0.3055556
2,139,-15,2.0,0.25,-1,0.4083333,1,-0.1583333
2,141,9,2.0,0.75,1,0.8722222,1,-0.12222219999999995
2,142,9,2.0,1.0,1,0.7555556,1,0.2444444
2,143,-15,0.1,0.75,-1,0.8554167,1,-0.10541670000000003
2,144,0,2.0,0.75,0,0.7027778,1,0.04722219999999999
2,145,0,0.1,0.5,0,1.0,1,-0.5
2,146,-15,2.0,0.5,-1,0.5194445,1,-0.019444499999999976
2,147,0,0.1,0.25,0,1.0,1,-0.75
2,148,0,0.1,0.5,0,1.0,1,-0.5
2,149,-15,2.0,0.25,-1,0.5527778,1,-0.3027778
2,150,0,1.0,0.25,0,0.3304167,1,-0.08041670000000001
2,151,0,1.0,1.0,0,1.0,1,0.0
2,152,0,0.1,0.25,0,0.0,1,0.25
2,153,0,0.1,0.75,0,0.85,1,-0.09999999999999998
2,154,0,2.0,0.25,0,0.1472222,1,0.1027778
2,155,-15,2.0,0.0,-1,0.3861111,1,-0.3861111
2,156,0,2.0,0.5,0,0.6972222,1,-0.19722220000000001
2,157,-15,1.0,0.75,-1,0.6916667,1,0.05833330000000003
2,158,0,1.0,0.5,0,0.4277778,1,0.07222220000000001
2,159,9,2.0,0.5,1,0.6333333,1,-0.1333333
2,160,0,2.0,0.75,0,1.0,1,-0.25
2,161,0,2.0,1.0,0,1.0,1,0.0
2,162,0,1.0,1.0,0,1.0,1,0.0
2,163,-15,1.0,0.0,-1,0.2694444,1,-0.2694444
2,164,-15,2.0,0.0,-1,0.2833333,1,-0.2833333
2,165,0,2.0,0.75,0,0.8638889,1,-0.11388889999999996
2,166,9,2.0,0.25,1,0.1861111,1,0.0638889
2,167,0,2.0,0.0,0,0.0,1,0.0
2,168,-15,1.0,1.0,-1,1.0,1,0.0
2,169,-15,1.0,0.0,-1,0.0,1,0.0
2,170,-15,0.1,0.5,-1,0.5833333,1,-0.08333330000000005
2,171,-15,2.0,0.75,-1,0.85,1,-0.09999999999999998
2,172,-15,2.0,0.5,-1,0.575,1,-0.07499999999999996
2,173,-15,0.1,0.0,-1,0.2583333,1,-0.2583333
2,174,9,2.0,0.75,1,0.875,1,-0.125
2,175,0,2.0,0.75,0,0.8333333,1,-0.08333330000000005
2,176,0,2.0,1.0,0,0.975,1,0.025000000000000022
2,177,0,0.1,0.0,0,0.08055556,1,-0.08055556
2,179,0,2.0,0.0,0,0.0,1,0.0
2,180,-15,1.0,0.5,-1,0.9222222,1,-0.4222222
3,1,-15,2.0,0.25,-1,0.9609722,1,-0.7109722
3,2,0,0.1,0.25,0,0.5027778,1,-0.25277780000000005
3,3,0,2.0,0.0,0,0.0,1,0.0
3,4,0,2.0,0.25,0,0.0,1,0.25
3,5,0,0.1,1.0,0,0.6748612,1,0.32513879999999995
3,7,-15,1.0,0.5,-1,0.9222222,1,-0.4222222
3,8,9,2.0,0.75,1,0.3776389,1,0.3723611
